id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
80323,0.815378,tcp,http,FIN,10,8,836,1094,20.849225,62,252,7387.984375,9399.321289,2,2,90.580667,103.773141,4779.991936,174.672156,255,2700001451,3242877272,255,0.164392,0.088963,0.075429,84,137,1,140,6,1,2,2,2,6,0,0,4,2,6,0,Normal,0
81682,0.201635,tcp,-,CON,6,2,998,86,34.716195,62,252,33010.14063,1706.052979,2,1,40.327,0.009,2410.813068,0.0,255,2660825232,237850161,255,0.166918,0.078,0.088918,166,43,0,0,6,3,2,2,1,6,0,0,0,2,6,0,Normal,0
74088,1.1e-05,udp,-,INT,2,0,1742,0,90909.0902,254,0,633454528.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,871,0,0,0,15,2,30,8,1,14,0,0,0,9,14,0,Normal,0
67176,1.465845,tcp,ftp,FIN,12,12,2618,682,15.690609,254,252,13098.24707,3416.459473,3,4,133.258642,125.890547,6867.896581,162.598141,255,1077009472,1558509307,255,0.176546,0.08038,0.096166,218,57,0,0,2,1,1,1,1,2,0,0,0,3,2,0,Normal,0
32652,4.029813,tcp,-,FIN,122,126,7816,16782,61.29317,31,29,15389.30078,33051.66016,30,32,33.301304,32.234512,2058.175691,2025.932393,255,639080153,680877496,255,0.000645,0.000494,0.000151,64,133,0,0,2,0,4,1,1,1,0,0,0,1,9,0,Normal,0
81819,0.553563,tcp,-,CON,6,2,998,86,12.645354,62,252,12023.92481,621.428833,2,1,110.7126,0.001,6342.834639,0.0,255,3687552727,2472235580,255,0.431713,0.173402,0.258311,166,43,0,0,1,3,2,1,1,1,0,0,0,2,1,0,Normal,0
74754,4e-06,tcp,-,REQ,2,0,90,0,250000.0006,254,0,90000000.0,0.0,1,0,0.004,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,6,0,0,0,3,6,0,Normal,0
23381,0.016134,tcp,-,FIN,40,42,2542,21006,5020.453871,31,29,1229205.5,10167845.0,7,14,0.404026,0.376585,31.224762,29.252943,255,1480374769,3630312792,255,0.000847,0.000684,0.000163,64,500,0,0,4,0,2,1,1,2,0,0,0,3,7,0,Normal,0
34891,0.262652,tcp,-,FIN,16,18,1540,1644,125.641529,31,29,43982.14844,47302.13281,4,4,17.486067,15.422117,1076.678588,28.55134,255,1541665478,3740104547,255,0.000602,0.000468,0.000134,96,91,0,0,10,0,10,5,1,5,0,0,0,7,14,0,Normal,0
80468,0.777168,tcp,-,FIN,10,6,534,268,19.300847,254,252,4951.310547,2305.807861,2,1,86.243889,126.754203,4420.815582,194.163969,255,160148424,1973419499,255,0.219149,0.143394,0.075755,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
30044,0.306992,tcp,-,FIN,28,28,4192,2976,179.157766,31,29,105357.7969,74790.22656,7,7,11.357704,11.351111,656.969332,17.293398,255,206169634,2359524098,255,0.001092,0.000505,0.000587,150,106,0,0,7,0,3,1,1,3,0,0,0,10,7,0,Normal,0
71840,5e-06,udp,-,INT,2,0,1064,0,200000.0051,254,0,851200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,35,2,13,13,1,35,0,0,0,13,35,0,Normal,0
77207,0.743328,tcp,-,FIN,14,12,3338,678,33.632529,254,252,33363.46875,6694.21875,3,3,7094.719357,8273.0245,833150.5976,27239.494,255,2314179686,1387411187,255,0.099148,0.04787,0.051278,238,57,0,0,6,1,3,3,2,6,0,0,0,3,6,0,Normal,0
36316,0.099821,tcp,-,FIN,64,66,3806,52014,1292.313224,31,29,300297.5313,4105428.75,7,26,1.579508,1.527477,88.105693,84.898022,255,3033386654,3100322521,255,0.000679,0.00053,0.000149,59,788,0,0,6,0,2,1,1,1,0,0,0,4,6,0,Normal,0
34947,0.521601,tcp,ftp,FIN,52,54,2934,3742,201.303287,31,29,44141.01953,56334.24609,11,15,10.221098,9.830773,1089.6251,42.275031,255,2991688921,2996930988,255,0.000703,0.000565,0.000138,56,69,0,0,1,0,4,1,1,2,1,1,0,9,1,0,Normal,0
71417,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.78,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0
42769,0.506544,tcp,http,FIN,10,8,828,1194,33.560757,62,252,11781.79981,16503.99609,2,2,56.282667,61.620285,2777.541032,94.943266,255,2451476542,2042401122,255,0.113345,0.074516,0.038829,83,149,1,195,4,1,1,1,1,4,0,0,1,4,4,0,Normal,0
29287,0.004131,tcp,http,FIN,8,10,1040,824,4115.226314,31,29,1762285.125,1436940.25,2,2,0.540143,0.400778,34.636825,0.741133,255,3448063215,3449120449,255,0.000656,0.00052,0.000136,130,82,1,83,2,0,2,1,1,2,0,0,1,3,2,0,Normal,0
36670,1.497017,tcp,http,FIN,14,18,1684,10168,20.707847,31,29,8357.954102,51323.39844,3,5,115.127846,88.013824,9472.140271,8295.248743,255,1575221761,3898638279,255,0.0009,0.000778,0.000122,120,565,1,3924,1,0,5,1,1,1,0,0,1,1,2,0,Normal,0
35257,1.744932,tcp,-,FIN,122,126,7816,16782,141.55279,31,29,35540.64063,76330.76563,30,32,14.418289,13.955472,865.119021,854.145217,255,1784632788,3966343142,255,0.000627,0.000492,0.000135,64,133,0,0,6,0,1,1,1,1,0,0,0,1,6,0,Normal,0
33954,0.013567,tcp,-,FIN,16,18,1540,1644,2432.372723,31,29,851477.875,915751.5,4,4,0.883667,0.770765,61.403248,1.418243,255,3190588190,3192906427,255,0.000581,0.00046,0.000121,96,91,0,0,10,0,10,6,1,9,0,0,0,17,9,0,Normal,0
